항목,내용
학교명,수도전기공업고등학교 (Sudo Electric Technical High School)
설립일자,1924년 03월 01일
설립구분,사립
학교특성,특수목적고등학교 (마이스터고)
관할교육청,서울특별시교육청
운영주체,한국전력공사
주소,서울특별시 강남구 개포로 410 (개포동)
대표번호,02-524-9800
팩스번호,02-529-6381
학생수,"550명 (남 418명, 여 132명) - 학교알리미 기준"
교원수,"90명 (남 61명, 여 29명)"
교훈,"창의(創意), 열정(熱情), 도전(挑戰)"
개설학과 1,"전기에너지과: 전력계통 각종 설비 설계 및 유지보수, 안전관리 전문 인력 육성"
개설학과 2,"에너지전자제어과: 에너지 제어계측 공사, 설계 지원 및 유지 정비 기술인 육성"
개설학과 3,"에너지기계과: 발전설비, 에너지산업 기계분야 설계 및 유지 정비 기술인 육성"
개설학과 4,"에너지정보통신과: 컴퓨터 네트워크 기반 ICT, IoT 및 전기기술 통신융합 기술인 육성"
